我的频道,#genre#
广东卫视,http://cfss.cc/api/ysp/gdws.m3u8
广东珠江,http://645c6e6320d051d49b446bac57d65143.v.smtcdns.net/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel65/index.m3u8
广东经济,http://60.208.16.27:1505/gudou.php?id=364&id=GDjingjikejiaoHD_7000
广东体育,http://gxdl-lhs.8866.org:85/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
广东新闻,http://ci.emdoor.tech:8080/touchtv.php?pk=1186
广东影视,https://skype.serv00.net/itouch.php?id=gdys
广东公共,http://183.237.231.139:9901/tsfile/live/1058_1.m3u8
广东少儿,https://skype.serv00.net/itouch.php?id=gdse
嘉佳卡通,https://skype.serv00.net/itouch.php?id=jjkt
广东综艺,http://suixiaobin.dsmynas.net:5666/gudou.php?phone=18998910474&ptoken=SZESNUL4i2PcZZKV1JA9jw%3D%3D&pserialnumber=63eee104cf9602bf&cid=860&id=gdzongyi_1500&/PLTV/hls.smil.m3u8
